                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                     200                                      579                  1.5970000000000000E+000                  2.0000000000000000E-002                  4.3362819393163218E+003                  7.4543087258990923E+001                  4.2127124625118522E+003                  1.2728468141293854E+002                  2.1209150380030550E+001                 -7.9152623490782013E+000                  6.9999999999988649E-001                  2.9797635592226639E-005                  2.7997020236474879E-001                  3.4416106108119981E-003                  1.0081585468365995E-003                  9.3604466091399743E-003                  2.0994599496976488E-003                  1.5970000000000000E+000                  0.0000000000000000E+000                  1.1178999999998196E+000                  4.7586824038603475E-005                  4.4711241317650341E-001                  5.4962521454667585E-003                  1.6100291992980501E-003                  1.4948633234796539E-002                  3.3528375396671460E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5969986876165942E+000                  2.1148200818926995E+001                  1.5969982364293887E+000                  2.1131593848690571E+001                  7.7386645314937690E+005                  2.2176344520811344E+004                  1.2546678691200812E+008                  2.2406347672783587E-005                  2.2406347672783587E-005                  0.0000000000000000E+000                  1.0486351256568949E-017                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.3684503581385487E+011 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                        q                                    grada                                  opacity                               luminosity                                    gradr 
                                       1                  1.5970000000000000E+000                  1.3265232714088313E+000                  3.6245619053752276E+000                 -7.8864253935668849E+000                  3.5424921188401961E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  1.0000000000000000E+000                  3.8745937771706218E-001                  1.8604350515429764E-002                  1.2728468141293854E+002                  1.2501433812050683E-001 
                                       2                  1.5969999999984030E+000                  1.3265232687808446E+000                  3.6245621031114159E+000                 -7.8864240100298195E+000                  3.5424937005437935E+000                  7.0000999999999991E-001                  2.8000000000000014E-001                  1.9989999999999952E-002                  9.9999999999900002E-001                  3.8745941629825892E-001                  1.8604427824629337E-002                  1.2728468141293816E+002                  1.2501467017169887E-001 
                                       3                  1.5969999999964068E+000                  1.3265232654958732E+000                  3.6245623228188739E+000                 -7.8864224727736900E+000                  3.5424954579855270E+000                  7.0000999999999991E-001                  2.8000000000000014E-001                  1.9989999999999952E-002                  9.9999999999775002E-001                  3.8745945916645946E-001                  1.8604513723997046E-002                  1.2728468141293767E+002                  1.2501550030064751E-001 
                                       4                  1.5969999999944104E+000                  1.3265232622109124E+000                  3.6245626523808836E+000                 -7.8864201669035392E+000                  3.5424980941348791E+000                  7.0000999999999991E-001                  2.8000000000000014E-001                  1.9989999999999952E-002                  9.9999999999650002E-001                  3.8745952346903118E-001                  1.8604642573508103E-002                  1.2728468141293719E+002                  1.2501633043164045E-001 
                                       5                  1.5969999999904179E+000                  1.3265232556410249E+000                  3.6245633115082785E+000                 -7.8864155552142003E+000                  3.5425033663858922E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999999999400002E-001                  3.8745965207531752E-001                  1.8604900274244895E-002                  1.2728468141293625E+002                  1.2501799069998060E-001 
                                       6                  1.5969999999824329E+000                  1.3265232425013875E+000                  3.6245648494875642E+000                 -7.8864047948679685E+000                  3.5425156680575136E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999999998900002E-001                  3.8745995216171231E-001                  1.8605501584539316E-002                  1.2728468141293435E+002                  1.2502131126262198E-001 
                                       7                  1.5969999999624707E+000                  1.3265232096531046E+000                  3.6245670466601410E+000                 -7.8863894236020426E+000                  3.5425332412749961E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999999997650002E-001                  3.8746038087774087E-001                  1.8606360623336531E-002                  1.2728468141292960E+002                  1.2502961280192179E-001 
                                       8                  1.5969999999425082E+000                  1.3265231768059771E+000                  3.6245703425013049E+000                 -7.8863663681077432E+000                  3.5425595997759904E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999999996400002E-001                  3.8746102397887972E-001                  1.8607649227480441E-002                  1.2728468141292485E+002                  1.2503791454020530E-001 
                                       9                  1.5969999999025830E+000                  1.3265231111151878E+000                  3.6245769345211540E+000                 -7.8863202622133004E+000                  3.5426123120110526E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999999993900002E-001                  3.8746231029534095E-001                  1.8610226607342732E-002                  1.2728468141291535E+002                  1.2505451865222125E-001 
                                      10                  1.5969999998227331E+000                  1.3265229797474691E+000                  3.6245868236009451E+000                 -7.8862511162959423E+000                  3.5426913684651309E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999999988900001E-001                  3.8746424013866992E-001                  1.8614093136842508E-002                  1.2728468141289633E+002                  1.2508772919852443E-001 
                                      11                  1.5969999997229207E+000                  1.3265228155637918E+000                  3.6245978129221199E+000                 -7.8861743056614477E+000                  3.5427791922274459E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999999982650001E-001                  3.8746638491822205E-001                  1.8618389924655705E-002                  1.2728468141287256E+002                  1.2512924659847488E-001 
                                      12                  1.5969999996231079E+000                  1.3265226514089656E+000                  3.6246142989606454E+000                 -7.8860591247838840E+000                  3.5429108947792147E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999999976400000E-001                  3.8746960276282061E-001                  1.8624836257324383E-002                  1.2728468141284878E+002                  1.2517076911296146E-001 
                                      13                  1.5969999994234829E+000                  1.3265223231858141E+000                  3.6246472794721427E+000                 -7.8858288901645395E+000                  3.5431741809200403E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999999963899999E-001                  3.8747604129514657E-001                  1.8637733224197473E-002                  1.2728468141280118E+002                  1.2525383004405813E-001 
                                      14                  1.5969999990242330E+000                  1.3265216670851923E+000                  3.6247132742228914E+000                 -7.8853689287778463E+000                  3.5437002780192790E+000                  7.0001000000000002E-001                  2.8000000000000008E-001                  1.9989999999999952E-002                  9.9999999938899997E-001                  3.8748892969799531E-001                  1.8663544402913543E-002                  1.2728468141270575E+002                  1.2542001418970578E-001 
