                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                     100                                      554                  1.0000000000000000E+000                  2.0000000000000000E-002                  5.5218412794379230E+002                  2.5722161670248795E+001                  3.8986652014906472E+003                  1.2756746545746445E+002                  2.4791163898952178E+001                 -7.8446457497188096E+000                  7.0000000000000007E-001                  2.9797635251138550E-005                  2.7997020236474890E-001                  3.4416106108120315E-003                  1.0081585468366043E-003                  9.3604466091399760E-003                  2.0994599496976492E-003                  1.0000000000000000E+000                  0.0000000000000000E+000                  7.0000000000000029E-001                  2.9797635251138537E-005                  2.7997020236474890E-001                  3.4416106108120311E-003                  1.0081585468366047E-003                  9.3604466091399743E-003                  2.0994599496976483E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999696128689108E-001                  2.4667141435785393E+001                  9.9999586794105622E-001                  2.4631328390974815E+001                  1.2358875188550483E+006                  7.4223716347016416E+003                  7.8389893254831165E+007                  2.0493748879258854E-020                  2.0493748879258854E-020                  0.0000000000000000E+000                  8.1988598549396080E-022                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.7425909528434444E+010 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                       1                  1.0000000000000000E+000                  1.3942969165631698E+000                  3.5909159532887776E+000                 -7.9520732148833213E+000                  3.4428711065058675E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       2                  9.9999999999949996E-001                  1.3942969159639103E+000                  3.5909159910172410E+000                 -7.9520729511025685E+000                  3.4428714083016612E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002 
                                       3                  9.9999999999837497E-001                  1.3942969146155768E+000                  3.5909160606698594E+000                 -7.9520724641233338E+000                  3.4428719654625786E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002 
                                       4                  9.9999999999650002E-001                  1.3942969123683560E+000                  3.5909161622467693E+000                 -7.9520717539467229E+000                  3.4428727779876542E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       5                  9.9999999999400013E-001                  1.3942969093720672E+000                  3.5909163363790033E+000                 -7.9520705365049915E+000                  3.4428741708842843E+000                  6.9999999999999996E-001                  2.8000000000000003E-001                  2.0000000000000018E-002 
                                       6                  9.9999999998899991E-001                  1.3942969033795078E+000                  3.5909167426893456E+000                 -7.9520676958266119E+000                  3.4428774209592281E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002 
                                       7                  9.9999999997650002E-001                  1.3942968883982039E+000                  3.5909173231394216E+000                 -7.9520636377629730E+000                  3.4428820638818785E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       8                  9.9999999996400002E-001                  1.3942968734170373E+000                  3.5909181938241663E+000                 -7.9520575507692559E+000                  3.4428890281737550E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                       9                  9.9999999993900002E-001                  1.3942968434551191E+000                  3.5909199352327605E+000                 -7.9520453771522375E+000                  3.4429029564263209E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002 
                                      10                  9.9999999988900001E-001                  1.3942967835329458E+000                  3.5909225474655813E+000                 -7.9520271176733432E+000                  3.4429238479791868E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      11                  9.9999999982650001E-001                  1.3942967086333415E+000                  3.5909254501128252E+000                 -7.9520068306933638E+000                  3.4429470596530947E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      12                  9.9999999976400000E-001                  1.3942966337371994E+000                  3.5909298043244635E+000                 -7.9519764027663644E+000                  3.4429818748620304E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      13                  9.9999999963899999E-001                  1.3942964839552914E+000                  3.5909385137254217E+000                 -7.9519155561687791E+000                  3.4430514970041641E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      14                  9.9999999938899997E-001                  1.3942961844329786E+000                  3.5909559364383741E+000                 -7.9517938999870621E+000                  3.4431907081977591E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002 
                                      15                  9.9999999888900004E-001                  1.3942955855542758E+000                  3.5909966074181079E+000                 -7.9515102252022754E+000                  3.4435153626750781E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      16                  9.9999999763899994E-001                  1.3942940893243243E+000                  3.5910547761705223E+000                 -7.9511054575420905E+000                  3.4439787405721733E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      17                  9.9999999638899995E-001                  1.3942925944727824E+000                  3.5911421256996037E+000                 -7.9504993186199533E+000                  3.4446728912663400E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      18                  9.9999999388899985E-001                  1.3942896088932772E+000                  3.5913172165277087E+000                 -7.9492907147987539E+000                  3.4460579110475429E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      19                  9.9999998888899999E-001                  1.3942836541445078E+000                  3.5915970653773548E+000                 -7.9473779897057719E+000                  3.4482525976477683E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      20                  9.9999998195615181E-001                  1.3942754333524234E+000                  3.5919243050084870E+000                 -7.9451711771613951E+000                  3.4507891113117721E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002 
                                      21                  9.9999997502330362E-001                  1.3942672537639826E+000                  3.5923880788834590E+000                 -7.9420900956923770E+000                  3.4543374328599543E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      22                  9.9999996242455547E-001                  1.3942524932837630E+000                  3.5929932661281683E+000                 -7.9381639562015858E+000                  3.4588732841072409E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      23                  9.9999994982580742E-001                  1.3942378641560267E+000                  3.5939163362653064E+000                 -7.9323375723820213E+000                  3.4656296304091354E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      24                  9.9999992440557384E-001                  1.3942087362123115E+000                  3.5958256640806754E+000                 -7.9208987642446607E+000                  3.4789921865680316E+000                  7.0000000000000007E-001                  2.7999999999999997E-001                  2.0000000000000018E-002 
                                      25                  9.9999987288905945E-001                  1.3941512229621495E+000                  3.5985220808521707E+000                 -7.9061825157394452E+000                  3.4964259150801831E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002 
                                      26                  9.9999982045791791E-001                  1.3940946165425601E+000                  3.6013830480942812E+000                 -7.8920048506616221E+000                  3.5134872400703232E+000                  7.0000000000000018E-001                  2.8000000000000003E-001                  1.9999999999999796E-002 
                                      27                  9.9999976709602645E-001                  1.3940388339742829E+000                  3.6059576049716000E+000                 -7.8715700219182319E+000                  3.5385328162963079E+000                  7.0000000000000018E-001                  2.8000000000000003E-001                  1.9999999999999796E-002 
